implementation,checkpoint,support_low,support_high,method,nDCG,nDCG_10,nDCG_100,Pearson,Spearman,source_file
baseline,adult_model_10,0.0525,0.0551,delta,0.6591475327240928,0.00033231558837664734,0.0006953904888916546,-0.03186103820207237,-0.05252263437052227,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-14-15-20-34-77-87-89.pkl
baseline,adult_model_10,0.0525,0.0551,tstat,0.6616796403358991,0.006515315409838964,0.005650046662487622,-0.034488055678161524,-0.050814873612101685,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-14-15-20-34-77-87-89.pkl
baseline,adult_model_10,0.0525,0.0551,random,0.6914167909399951,0.07594354725169943,0.08577425557188087,-0.0014810510029594833,-0.0008010281146074783,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-14-15-20-34-77-87-89.pkl
baseline,adult_model_10,0.0525,0.0551,delta,0.7164804445633765,0.04620483649302085,0.043625701600147324,0.08264133750929795,0.07934991599387972,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-27-50-87-129.pkl
baseline,adult_model_10,0.0525,0.0551,tstat,0.7278805450654657,0.08192042772815009,0.10336520835160856,0.10054383225452783,0.07841325807973655,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-27-50-87-129.pkl
baseline,adult_model_10,0.0525,0.0551,random,0.7133820315517712,0.057791306065757275,0.06740343732606995,0.0002194035552213312,5.925389706398324e-05,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-27-50-87-129.pkl
baseline,adult_model_10,0.0525,0.0551,delta,0.6477747447508753,0.0006943219026786114,0.0004524942910414096,-0.031894915433559996,-0.0563585898070983,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-5-14-20-48-57-77-129.pkl
baseline,adult_model_10,0.0525,0.0551,tstat,0.6498377536252508,0.002125576566721363,0.003083795857767873,-0.03411202822506066,-0.05119814386201497,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-5-14-20-48-57-77-129.pkl
baseline,adult_model_10,0.0525,0.0551,random,0.680457914916597,0.08462782781679483,0.08145626212170123,-0.0031834426521623266,-0.0009201264513885825,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-5-14-20-48-57-77-129.pkl
baseline,adult_model_10,0.0551,0.0581,delta,0.7467881486906494,0.11413703209012488,0.12988462952043126,0.15881862711784497,0.14130536248042053,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-0-15-20-50-87-89.pkl
baseline,adult_model_10,0.0551,0.0581,tstat,0.7424076469559476,0.08977863223487412,0.125788915427587,0.12097450191040307,0.12627810221612917,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-0-15-20-50-87-89.pkl
baseline,adult_model_10,0.0551,0.0581,random,0.7204321761782237,0.06432290385948257,0.08704968346500182,-0.0025372324042287515,-0.0020984377001377953,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-0-15-20-50-87-89.pkl
baseline,adult_model_10,0.0551,0.0581,delta,0.672653871413319,0.004945725302954441,0.003994623102406451,0.008556390097219733,0.0029387859594155316,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-1-13-57-129.pkl
baseline,adult_model_10,0.0551,0.0581,tstat,0.6902035363372433,0.02768484919403777,0.06138802098515837,0.03329395455132124,0.020240999976213068,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-1-13-57-129.pkl
baseline,adult_model_10,0.0551,0.0581,random,0.6903058266734379,0.08770179642936309,0.08725534023852813,0.0004762440621344554,-0.00041378896756134664,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-1-13-57-129.pkl
baseline,adult_model_10,0.0551,0.0581,delta,0.6755381011272639,0.022199322790104302,0.049079952291607186,0.05448437822879276,0.04674292936665263,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-1-15-20-55-87.pkl
baseline,adult_model_10,0.0551,0.0581,tstat,0.6859924377130477,0.09124231186612407,0.1146277278874864,0.054068697571760305,0.04519720424178632,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-1-15-20-55-87.pkl
baseline,adult_model_10,0.0551,0.0581,random,0.6678462367941155,0.04489351831357639,0.05858891386277229,-0.0001938700148098685,0.0023905857168013585,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-1-15-20-55-87.pkl
baseline,adult_model_10,0.0551,0.0581,delta,0.7016632336495038,0.060725261162511326,0.07379796743016494,-0.01146638221853254,-0.011325139455508013,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-14-15-20-26-34-87-129.pkl
baseline,adult_model_10,0.0551,0.0581,tstat,0.7041766683452043,0.09999536137624661,0.09165234569712229,-0.016570564195441454,-0.015403670911072998,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-14-15-20-26-34-87-129.pkl
baseline,adult_model_10,0.0551,0.0581,random,0.7131604731359243,0.0788480124696865,0.0820909720197769,-0.0010886364819759262,-0.0009889826144435484,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-14-15-20-26-34-87-129.pkl
baseline,adult_model_10,0.0551,0.0581,delta,0.7164394729065809,0.03319703423017055,0.049000417432127824,-0.0022682293991707733,0.017385444505586815,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-2-20-26-34-87-129.pkl
baseline,adult_model_10,0.0551,0.0581,tstat,0.7213724604551108,0.05403228887396786,0.07686433185367701,-0.0069757871750321535,0.014620909687607537,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-2-20-26-34-87-129.pkl
baseline,adult_model_10,0.0551,0.0581,random,0.7252108670933396,0.06758178934882557,0.09668183881535379,0.0012685777262582687,0.0008986397521292555,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-2-20-26-34-87-129.pkl
baseline,adult_model_10,0.0551,0.0581,delta,0.684132010020213,0.036693924571003414,0.04082816509105634,0.06822019686261484,0.10551836936765026,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-2-5-15-50-129.pkl
baseline,adult_model_10,0.0551,0.0581,tstat,0.691971400247145,0.05616282724802814,0.07484498546848974,0.08833375972706715,0.11249102702950409,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-2-5-15-50-129.pkl
baseline,adult_model_10,0.0551,0.0581,random,0.6849807730877713,0.07221071582864677,0.08122372186763294,0.0016032779997274835,0.0008447756960884619,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-2-5-15-50-129.pkl
baseline,adult_model_10,0.0551,0.0581,delta,0.6811230852900205,0.025436052703164836,0.0325484273600456,-0.015973709262491004,-0.012485940485661318,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-5-14-26-87-89-129.pkl
baseline,adult_model_10,0.0551,0.0581,tstat,0.6846313547508958,0.033683663887745185,0.04124889844066855,-0.014021824496577632,-0.010389796971699025,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-5-14-26-87-89-129.pkl
baseline,adult_model_10,0.0551,0.0581,random,0.7030819918914402,0.07915819392010721,0.09231166865000555,-0.0005098648157169289,-0.000705470692182042,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-5-14-26-87-89-129.pkl
baseline,adult_model_10,0.0551,0.0581,delta,0.6500327938506412,0.0006374794119951322,0.0014037263593575453,-0.030312345740228997,-0.05447161878667807,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-5-14-48-57-87-89-129.pkl
baseline,adult_model_10,0.0551,0.0581,tstat,0.6526681364236447,0.008702765643074125,0.010389120777060192,-0.0341663237654733,-0.051573591929398754,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-5-14-48-57-87-89-129.pkl
baseline,adult_model_10,0.0551,0.0581,random,0.6826797924812859,0.07719558777356503,0.08110458731834536,0.0010954289015121673,0.001265083505145545,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-5-14-48-57-87-89-129.pkl
baseline,adult_model_10,0.0551,0.0581,delta,0.6512309177841308,0.0,0.00033044781232409985,-0.03035678077221662,-0.055959228319220955,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-5-14-48-77-87-89-129.pkl
baseline,adult_model_10,0.0551,0.0581,tstat,0.6542572154442898,0.0023277374405599825,0.004510915471255807,-0.030765837060839633,-0.05213354513304302,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-5-14-48-77-87-89-129.pkl
baseline,adult_model_10,0.0551,0.0581,random,0.6828045212841465,0.07687396215260277,0.07893514715731596,-0.004200166147005644,-0.0036697317291921475,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-5-14-48-77-87-89-129.pkl
baseline,adult_model_10,0.0551,0.0581,delta,0.7307118714672113,0.07880620828039954,0.12188818001868588,0.10291496045627385,0.08975054243015618,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-5-15-26-78-87-89.pkl
baseline,adult_model_10,0.0551,0.0581,tstat,0.7320983195318158,0.13063499019069852,0.15298138978292516,0.07353612604799994,0.07325301901358276,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-5-15-26-78-87-89.pkl
baseline,adult_model_10,0.0551,0.0581,random,0.7094081624579829,0.06737277526187488,0.08339181568461547,-0.0022428817521732035,-0.0009036199048576287,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-5-15-26-78-87-89.pkl
baseline,adult_model_10,0.0581,0.0615,delta,0.7419643857503354,0.10105373886418664,0.12201427921622916,0.1644405297335312,0.1487521484137496,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0581-0.0615-target-0-5-34-78-129.pkl
baseline,adult_model_10,0.0581,0.0615,tstat,0.7390475898823029,0.15696571726137518,0.15734615206961494,0.11587140890667137,0.12905413011827266,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0581-0.0615-target-0-5-34-78-129.pkl
baseline,adult_model_10,0.0581,0.0615,random,0.7093739092120672,0.061685451402895664,0.0813864087562523,0.0028530556847149867,0.003944902329699416,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0581-0.0615-target-0-5-34-78-129.pkl
baseline,adult_model_10,0.0581,0.0615,delta,0.7388868032801691,0.05507482084022731,0.09607767597463096,0.15835155544105506,0.12960978337119408,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0581-0.0615-target-0-5-50-89.pkl
baseline,adult_model_10,0.0581,0.0615,tstat,0.7327561781975788,0.0516885150591683,0.10384195454020578,0.10773229688742877,0.11182697774780662,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0581-0.0615-target-0-5-50-89.pkl
baseline,adult_model_10,0.0581,0.0615,random,0.7147906532901773,0.06070120685728291,0.08789057661378241,-0.00019389084613832797,-0.001214351758870215,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0581-0.0615-target-0-5-50-89.pkl
baseline,adult_model_10,0.0581,0.0615,delta,0.6711192402836064,0.02801184388485643,0.04502483010422061,0.03738418809434209,0.03563940743526711,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0581-0.0615-target-1-15-55-87.pkl
baseline,adult_model_10,0.0581,0.0615,tstat,0.6770353645655438,0.05789197966372513,0.06875306639616612,0.028268465385883484,0.032551112805637376,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0581-0.0615-target-1-15-55-87.pkl
baseline,adult_model_10,0.0581,0.0615,random,0.6677579726216829,0.033643073475988244,0.05445911994165811,-0.0010001602925685746,0.0007883959902245529,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0581-0.0615-target-1-15-55-87.pkl
baseline,adult_model_10,0.0581,0.0615,delta,0.7329436439532534,0.17860924639401907,0.2155235772053621,0.1868609195098109,0.10627966019718929,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0581-0.0615-target-13-26-59-87.pkl
baseline,adult_model_10,0.0581,0.0615,tstat,0.7265997843827108,0.21910443973710547,0.21800861244485195,0.1301059424767252,0.08874135916520011,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0581-0.0615-target-13-26-59-87.pkl
baseline,adult_model_10,0.0581,0.0615,random,0.6838378528006943,0.07374324794821527,0.0756970707236956,0.005231227627382939,0.0037243706338248666,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0581-0.0615-target-13-26-59-87.pkl
baseline,adult_model_10,0.0581,0.0615,delta,0.7216315294081356,0.08593511108212276,0.10062564494023682,0.18365702198404452,0.16255662218716357,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0581-0.0615-target-5-12-15-20-26-34-88.pkl
baseline,adult_model_10,0.0581,0.0615,tstat,0.7170585547609148,0.1127923982069853,0.12333588485611305,0.14926679900196146,0.13999950669647127,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0581-0.0615-target-5-12-15-20-26-34-88.pkl
baseline,adult_model_10,0.0581,0.0615,random,0.683922546905851,0.04970979751773376,0.06777610042108136,-0.0018428108943408105,-0.00042804479057743363,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0581-0.0615-target-5-12-15-20-26-34-88.pkl
baseline,adult_model_10,0.0581,0.0615,delta,0.671257409908308,0.007665181225596419,0.0072600048781109915,0.0008635440817788948,-0.016144631093719098,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0581-0.0615-target-5-13-54-57-77-87.pkl
baseline,adult_model_10,0.0581,0.0615,tstat,0.6876165877260493,0.055961095657577745,0.07050084979513048,0.010237704638711403,-0.004279514295074729,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0581-0.0615-target-5-13-54-57-77-87.pkl
baseline,adult_model_10,0.0581,0.0615,random,0.6890910007663995,0.0736938348393263,0.08313996638035522,0.00026707112924752215,0.002257458464032198,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0581-0.0615-target-5-13-54-57-77-87.pkl
