implementation,method,support_low,support_high,nDCG,nDCG_10,nDCG_100,Pearson,Spearman
baseline,random,0.0551,0.0581,0.7756086140074699,0.09070998918904914,0.09414708057644898,-0.00203964826383587,-0.0037668788240576402
baseline,random,0.0581,0.0615,0.785183246653747,0.09951267135881964,0.10486151334859761,0.0008458585882224142,0.00213077261940703
baseline,random,0.0615,0.0658,0.7860068644715581,0.08103321537846209,0.10148817012068427,-0.00022804998474438009,-0.0014996649328549302
baseline,random,0.0658,0.0704,0.8041992963517552,0.10567834901708055,0.10043990153840157,7.13387867201199e-05,0.00150962177860549
baseline,random,0.0704,0.0765,0.7884316572122734,0.0666828650228068,0.09078073439950121,-0.0006447842657223586,-0.00212114033342727
baseline,random,0.0765,0.0849,0.795428046217548,0.10021001319249205,0.11802677541073717,-0.0002493144129949502,0.00114833373353764
baseline,random,0.0849,0.096,0.8231907612277384,0.12939821813764343,0.13298049228123418,-0.0013007781385680698,0.0009573233731093196
baseline,random,0.096,0.109,0.8163487100517013,0.1266769984010466,0.13876804017082062,0.0017655516090003,0.00183734857148257
baseline,random,0.109,0.131,0.8375374683216263,0.2029839681990993,0.19251286624177943,-0.0002355368627237401,0.0016471328585601099
baseline,random,0.131,0.186,0.8486035044969258,0.14574868290175189,0.1824914667598366,0.0008982169180198,-0.0005271992165957899
baseline,random,0.186,0.992,0.9002279753204216,0.2665095560717049,0.3331429612959601,0.0019901944319199974,0.00215115921875468
baseline,tstat,0.049,0.0525,0.7991056999377335,0.09348006358458882,0.12368349481017757,0.060240722206516176,0.07691306929053157
baseline,tstat,0.0525,0.0551,0.8130629451416608,0.13602848209076981,0.17041181599508864,0.14386718781261335,0.1173128626195045
baseline,tstat,0.0551,0.0581,0.7970258824056851,0.09958116751833232,0.15012506713581425,0.11676002428317556,0.12994969603887352
baseline,tstat,0.0581,0.0615,0.8469471547898488,0.1998289085954527,0.23644051159374607,0.2549335522128734,0.22955409601111257
baseline,tstat,0.0615,0.0658,0.8210527416430498,0.16247241348714414,0.18425799529814801,0.17297954162867563,0.1651080674867218
baseline,tstat,0.0658,0.0704,0.8386718862359673,0.15552280681131075,0.1700038941101867,0.1443229718546792,0.14907743863990597
baseline,tstat,0.0704,0.0765,0.8413885283666571,0.18582142681393538,0.22554547725628474,0.22562867407493287,0.21694898650968691
baseline,tstat,0.0765,0.0849,0.8534797884842659,0.26353974247189604,0.27959922250094904,0.2116549806274604,0.20860591260621075
baseline,tstat,0.0849,0.096,0.8856644249976096,0.31863495356941945,0.3372531236696393,0.2804154851882437,0.23697154798217288
baseline,tstat,0.096,0.109,0.8454553021596676,0.1327385073024092,0.18621587844625806,0.17265801585484208,0.2174493601007698
baseline,tstat,0.109,0.131,0.8523328998703485,0.14350895779730627,0.20668315879160187,0.11139379673816847,0.1379064630825379
baseline,tstat,0.131,0.186,0.8870968431471246,0.2737990277239228,0.28733019415002226,0.21299519158427116,0.2313072627540797
baseline,tstat,0.186,0.992,0.9103713268651017,0.3061182225819066,0.3241977682359419,0.08259552037155118,0.11995988997150117
