implementation,checkpoint,support_low,support_high,method,nDCG,nDCG_10,nDCG_100,Pearson,Spearman,source_file,win_size,comparison
baseline,adult_model_10,0.0525,0.0551,tstat,0.7329467468240474,0.009947696954080954,0.01731805492819807,0.08062386356738101,0.08604483436196315,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-5-14-20-48-57-77-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0525,0.0551,random,0.7526873594199126,0.14040086321791212,0.11472577000717792,0.007096805245495193,0.0019874124179352043,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-5-14-20-48-57-77-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0551,0.0581,delta,0.8515218798139509,0.21758779901392175,0.2190564200149644,0.3228724436421361,0.056228058282171575,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-0-15-20-50-87-89.pkl,5,first_vs_last
baseline,adult_model_10,0.0551,0.0581,tstat,0.8475374879620883,0.22434013498894192,0.2550296161320038,0.19794757603470678,0.05824891344763808,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-0-15-20-50-87-89.pkl,5,first_vs_last
baseline,adult_model_10,0.0551,0.0581,random,0.7936329159870434,0.12806385362915002,0.11001011759703709,0.0036877239500135357,0.000300904438986149,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-0-15-20-50-87-89.pkl,5,first_vs_last
baseline,adult_model_10,0.0551,0.0581,delta,0.7923253162132861,0.02506586905389491,0.009260336232178243,0.22354941610935375,0.26096175286738504,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-1-13-57-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0551,0.0581,tstat,0.8472875733907493,0.3841821458523475,0.33740653061033116,0.3344481935624747,0.2721597766332803,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-1-13-57-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0551,0.0581,random,0.7655665843272536,0.05042255071884699,0.09085660507685436,-0.005015695950636193,0.00010729263964931906,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-1-13-57-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0551,0.0581,delta,0.7844046258215766,0.03552132818331479,0.08826501812062547,0.19355437137586187,0.18010652582468908,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-1-15-20-55-87.pkl,5,first_vs_last
baseline,adult_model_10,0.0551,0.0581,tstat,0.8106785841527991,0.03552132818331479,0.28553349916892495,0.20480307989602173,0.16354351108127635,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-1-15-20-55-87.pkl,5,first_vs_last
baseline,adult_model_10,0.0551,0.0581,random,0.7468819008670572,0.03027156456096311,0.05270532553808041,-0.002326138769088744,-0.013518713040037574,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0551-0.0581-target-1-15-20-55-87.pkl,5,first_vs_last
